course_code,course_name,department,teacher,credits,enrollment,class_capacity,teaching_class,campus,course_type,schedule_text,has_virtual_schedule,is_weekend_course,time_bucket
CHN0410J,汉语四（上）,密西根学院,郝丽霞,2.0,0,20.0,(2025-2026-1)-CHN0410J-01,闵行,限选,星期一第1-2节{1-7周};星期三第1-4节{1-7周},False,False,morning
SE3309,互联网产品开发与运维,计算机学院,任锐,3.0,96,103.0,(2025-2026-1)-SE3309-01,闵行,必修,星期一第1-2节{1-8周};星期五第1-2节{1-8周};星期六第1-8节{1-8周},True,True,morning
ED2202,设计思维,设计学院,庄慎,1.0,41,50.0,(2025-2026-1)-ED2202-01,闵行,必修,星期一第1-2节{1-8周},False,False,morning
EE4320,区块链技术及其在能源互联网的应用,电气工程学院,陈思捷,2.0,25,25.0,(2025-2026-1)-EE4320-01,闵行,限选,星期一第1-2节{1-8周};星期三第3-4节{1-8周},False,False,morning
NIS4344,计算机病毒原理及实践,计算机学院,刘功申,2.0,49,50.0,(2025-2026-1)-NIS4344-01,闵行,限选,星期一第1-2节{1-8周};星期三第3-4节{1-8周},False,False,morning
NIS3360,数字信号处理（E）,计算机学院,李生红,2.0,77,95.0,(2025-2026-1)-NIS3360-01,闵行,必修,星期一第1-2节{1-8周};星期四第1-2节{1-8周},False,False,morning
CIM1243,中国文化史,媒体与传播学院,姚君喜,2.0,29,30.0,(2025-2026-1)-CIM1243-01,闵行,必修,星期一第1-2节{1-8周};星期四第7-8节{1-8周},False,False,morning
ECOL4405,分子生态学,农业与生物学院,惠楠,2.0,1,17.0,(2025-2026-1)-ECOL4405-01,闵行,限选,星期一第1-2节{1-8周};星期三第3-4节{1-8周},False,False,morning
FOST3408,食品生物技术,农业与生物学院,孙向军,2.0,11,14.0,(2025-2026-1)-FOST3408-01,闵行,限选,星期一第1-2节{1-8周};星期三第1-2节{1-8周},False,False,morning
HORT4401,设施园艺学,农业与生物学院,王世平,2.0,28,28.0,(2025-2026-1)-HORT4401-01,闵行,"必修,限选",星期一第1-2节{1-8周};星期三第1-2节{1-8周},False,False,morning
ICE4316,数据通信网络模型和算法,集成电路学院（信息与电子工程学院）,孙卫强,2.0,33,33.0,(2025-2026-1)-ICE4316-01,闵行,限选,星期一第1-2节{1-8周};星期三第3-4节{1-8周},False,False,morning
PE4401P,工程流体动力学与传热,巴黎卓越工程师学院,张朝阳,4.0,0,34.0,(2025-2026-1)-PE4401P-01,闵行,必修,"星期一第1-2节{9周};星期一第3-4节{9周};星期一第9-10节{7-8周};星期一第7-10节{5-6周};星期二第9-10节{5-7周};星期二第9-10节{9周};星期三第9-10节{7周};星期三第9-10节{9周};星期三第7-10节{5-6周,8周};星期四第9-10节{5-8周};星期四第9-10节{9周};星期五第1-4节{8周};星期五第7-8节{9周};星期五第3-4,7-8节{5-6周}",False,False,morning
MS8410,海洋科学与技术前沿系列XVII(研）,研究生院,廖恩惠;康杜娟,2.0,0,10.0,MS8410-44000-M01[机器学习在海洋学中的应用],闵行,nan,星期一第1-2节{2-9周};星期四第1-2节{2-9周},False,False,morning
FL4604P,欧洲经济学概论,巴黎卓越工程师学院,Hubert KEMPF,2.0,0,38.0,(2025-2026-1)-FL4604P-01,闵行,"通识核心课程,限选","星期一第7-8节{9周};星期一第1-2,7-8节{10-11周};星期二第3-4节{9-11周};星期三第7-8节{9-10周};星期四第3-4节{9-10周};星期五第1-4节{9-10周}",False,False,morning
TC3000J,科技写作与交流,密西根学院,Tom Bowden,1.0,0,20.0,(2025-2026-1)-TC3000J-04,闵行,必修,星期一第1-2节{2-11周},False,False,morning
MSE2304,材料科学基础（1）,材料科学与工程学院,沈忱,3.0,34,35.0,(2025-2026-1)-MSE2304-03,闵行,"必修,交叉课程",星期一第1-2节{1-12周};星期四第7-8节{1-12周},False,False,morning
CS3954,计算复杂性,致远学院,傅育熙,3.0,28,56.0,(2025-2026-1)-CS3954-01,闵行,"必修,限选",星期一第1-2节{1-12周};星期四第3-4节{1-12周},False,False,morning
MECH2529,工程力学,船舶海洋与建筑工程学院,陶昉敏,3.0,22,22.0,(2025-2026-1)-MECH2529-03,闵行,"必修,限选",星期一第1-2节{1-12周};星期四第7-8节{1-12周},False,False,morning
MECH2529,工程力学,船舶海洋与建筑工程学院,王国庆,3.0,22,22.0,(2025-2026-1)-MECH2529-04,闵行,"必修,限选",星期一第1-2节{1-12周};星期四第7-8节{1-12周},False,False,morning
ME4406,嵌入式系统设计,机械与动力工程学院,贡亮,3.0,30,30.0,(2025-2026-1)-ME4406-01,闵行,限选,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
PE4404,氢能技术与应用,机械与动力工程学院,周宝文,3.0,30,30.0,(2025-2026-1)-PE4404-01,闵行,限选,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
ICE3301,数字信号处理,集成电路学院（信息与电子工程学院）,陈海宝,3.0,86,90.0,(2025-2026-1)-ICE3301-01,闵行,必修,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
ME3416,机械设计基础,机械与动力工程学院,王冬梅,3.0,28,30.0,(2025-2026-1)-ME3416-04,闵行,必修,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
ME3416,机械设计基础,机械与动力工程学院,陈晓军,3.0,30,30.0,(2025-2026-1)-ME3416-05,闵行,必修,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
ME3416,机械设计基础,机械与动力工程学院,陈铭,3.0,30,30.0,(2025-2026-1)-ME3416-01,闵行,必修,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
ME3416,机械设计基础,机械与动力工程学院,姚振强,3.0,30,30.0,(2025-2026-1)-ME3416-02,闵行,必修,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
MECH3519,振动理论,船舶海洋与建筑工程学院,刘翔,3.0,25,26.0,(2025-2026-1)-MECH3519-02,闵行,必修,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
MSE2605,材料科学基础（1）,材料科学与工程学院,郭强,3.0,22,40.0,(2025-2026-1)-MSE2605-01,闵行,"必修,限选",星期一第1-2节{1-12周};星期四第7-8节{1-12周},False,False,morning
NU3203,核反应堆物理,机械与动力工程学院,潘清泉,3.0,14,14.0,(2025-2026-1)-NU3203-02,闵行,必修,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
NU3203,核反应堆物理,机械与动力工程学院,何东豪,3.0,10,15.0,(2025-2026-1)-NU3203-01,闵行,必修,星期一第1-2节{1-12周};星期三第3-4节{1-12周},False,False,morning
FL1911P,工程师科技基础,巴黎卓越工程师学院,Celia Alice Gwendoline CARCHEREUX,3.0,0,126.0,(2025-2026-1)-FL1911P-01,闵行,"必修,限选","星期一第1-2节{9-10周,13周};星期一第5-5节{6-8周(双),11-12周,14-15周};星期三第1-2节{5-16周};星期四第1-2节{9-10周,13周}",False,False,morning
FL1913P,工程师科技基础（笛卡尔班）,巴黎卓越工程师学院,Hamza BOUKILI,3.0,0,25.0,(2025-2026-1)-FL1913P-01,闵行,限选,"星期一第1-2节{9-10周,13周};星期三第1-2节{5-16周};星期四第1-2节{9-11周(单),14周};星期四第5-5节{7周,10-12周(双),13-15周(单)}",False,False,morning
CHN0420J,汉语四（下）,密西根学院,郝丽霞,2.0,0,20.0,(2025-2026-1)-CHN0420J-01,闵行,限选,星期一第1-2节{8-13周};星期三第1-4节{8-12周},False,False,morning
BIO2231,生物化学,生命科学技术学院,林双君,4.0,41,45.0,(2025-2026-1)-BIO2231-01,闵行,必修,星期一第1-2节{1-16周};星期四第1-2节{1-16周},False,False,morning
ENVR3201,环境学导论,环境科学与工程学院,戴家银,1.0,5,5.0,(2025-2026-1)-ENVR3201-01,闵行,必修,星期一第1-2节{9-16周},False,False,morning
ENVR3201,环境学导论,环境科学与工程学院,张礼知,1.0,5,5.0,(2025-2026-1)-ENVR3201-02,闵行,必修,星期一第1-2节{9-16周},False,False,morning
FT2491,剧本写作（二）,媒体与传播学院,苏竞元,2.0,10,11.0,(2025-2026-1)-FT2491-01,闵行,必修,星期一第1-2节{9-16周};星期三第3-4节{9-16周},False,False,morning
EE3331,智慧能源,电气工程学院,文书礼,2.0,45,45.0,(2025-2026-1)-EE3331-01,闵行,交叉课程,星期一第1-2节{9-16周};星期四第7-8节{9-16周},False,False,morning
EE4321,电力系统规划,电气工程学院,柳璐,2.0,25,25.0,(2025-2026-1)-EE4321-01,闵行,限选,星期一第1-2节{9-16周};星期三第1-2节{9-16周},False,False,morning
ICE4314,移动通信与编程,集成电路学院（信息与电子工程学院）,钱良,2.0,33,33.0,(2025-2026-1)-ICE4314-01,闵行,限选,星期一第1-2节{9-16周};星期三第3-4节{9-16周},False,False,morning
PHAR3209,临床药学,药学院,毛文伟,2.0,35,36.0,(2025-2026-1)-PHAR3209-01,闵行,"交叉课程,限选",星期一第1-2节{9-16周};星期四第3-4节{9-16周},False,False,morning
ECON4604,智能投研技术,安泰经济与管理学院,李晓荣,2.0,50,50.0,(2025-2026-1)-ECON4604-01,徐汇,限选,星期一第1-2节{1-16周},False,False,morning
CHN3415,中国民俗,人文学院,潘倩菲,2.0,10,13.0,(2025-2026-1)-CHN3415-01,徐汇,限选,星期一第1-2节{1-16周},False,False,morning
CHN3419,经贸口语（1）,人文学院,徐新颜,2.0,15,18.0,(2025-2026-1)-CHN3419-01,徐汇,必修,星期一第1-2节{1-16周},False,False,morning
CHN1205,中文经典阅读（1）,人文学院,陆岩军,4.0,0,3.0,(2025-2026-1)-CHN1205-01,徐汇,必修,星期一第1-2节{1-16周};星期四第7-8节{1-16周},False,False,morning
CHN2203,商务汉语综合A（1）,人文学院,段沫,4.0,6,6.0,(2025-2026-1)-CHN2203-01,徐汇,必修,星期一第1-2节{1-16周};星期四第9-10节{1-16周},False,False,morning
ECON3615,实验经济学,安泰经济与管理学院,江明,2.0,30,30.0,(2025-2026-1)-ECON3615-01,徐汇,限选,星期一第1-2节{1-16周},False,False,morning
KE2601,运动训练学,体育系,孙涵,2.0,24,24.0,(2025-2026-1)-KE2601-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
AI1806,信号与系统（B类）,人工智能学院,陈思衡,3.0,37,62.0,(2025-2026-1)-AI1806-01,闵行,限选,星期一第1-2节{1-16周};星期四第3-4节{1-15周(单)},False,False,morning
FL1202,综合英语 I ,外国语学院,纪小凌,2.0,39,39.0,(2025-2026-1)-FL1202-01,闵行,限选,星期一第1-2节{1-16周},False,False,morning
FL1411,日语技能训练（1）,外国语学院,张烨萌,4.0,22,22.0,(2025-2026-1)-FL1411-01,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周},False,False,morning
CS0502,计算机科学导论,计算机学院,潘理,3.0,70,70.0,(2025-2026-1)-CS0502-01,闵行,限选,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS0502,计算机科学导论,计算机学院,金耀辉,3.0,70,70.0,(2025-2026-1)-CS0502-02,闵行,"必修,限选",星期一第1-2节{1-16周};星期四第9-10节{1-15周(单)},False,False,morning
CS0502,计算机科学导论,计算机学院,王韫博,3.0,69,70.0,(2025-2026-1)-CS0502-03,闵行,"必修,限选",星期一第1-2节{1-16周};星期四第9-10节{1-15周(单)},False,False,morning
CS0502,计算机科学导论,计算机学院,袁肖赟,3.0,70,70.0,(2025-2026-1)-CS0502-07,闵行,"必修,限选",星期一第1-2节{1-16周};星期四第9-10节{1-15周(单)},False,False,morning
EST2303,电子工程数理方法,集成电路学院（信息与电子工程学院）,樊昕昱,3.0,55,55.0,(2025-2026-1)-EST2303-01,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-15周(单)},False,False,morning
EST2303,电子工程数理方法,集成电路学院（信息与电子工程学院）,何谷峰,3.0,55,55.0,(2025-2026-1)-EST2303-04,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-15周(单)},False,False,morning
EST2303,电子工程数理方法,集成电路学院（信息与电子工程学院）,贺冲,3.0,51,55.0,(2025-2026-1)-EST2303-03,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-15周(单)},False,False,morning
EST2303,电子工程数理方法,集成电路学院（信息与电子工程学院）,郭旭涵,3.0,55,55.0,(2025-2026-1)-EST2303-02,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-15周(单)},False,False,morning
MATH2306P,线性代数与双重线性代数Ⅰ,巴黎卓越工程师学院,吉宏俊,6.0,0,108.0,(2025-2026-1)-MATH2306P-01,闵行,必修,星期一第1-2节{1-16周};星期一第5-5节{1-16周};星期四第9-10节{1-16周},False,False,morning
BIO1254,普通生物学,生命科学技术学院,陶美凤,2.0,54,64.0,(2025-2026-1)-BIO1254-03,闵行,必修,星期一第1-2节{1-16周},False,False,morning
BIO1254,普通生物学,生命科学技术学院,杨立桃,2.0,54,64.0,(2025-2026-1)-BIO1254-04,闵行,必修,星期一第1-2节{1-16周},False,False,morning
BIO1254,普通生物学,生命科学技术学院,唐满成,2.0,51,7.0,(2025-2026-1)-BIO1254-07,闵行,必修,星期一第1-2节{1-16周},False,False,morning
BIO1254,普通生物学,生命科学技术学院,霍云龙,2.0,58,68.0,(2025-2026-1)-BIO1254-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
BIO1254,普通生物学,生命科学技术学院,李雷,2.0,56,66.0,(2025-2026-1)-BIO1254-02,闵行,必修,星期一第1-2节{1-16周},False,False,morning
BIO1254,普通生物学,生命科学技术学院,顾若虚,2.0,58,62.0,(2025-2026-1)-BIO1254-05,闵行,必修,星期一第1-2节{1-16周},False,False,morning
BIO3504,应用生物信息学,生命科学技术学院,欧竑宇,2.0,46,60.0,(2025-2026-1)-BIO3504-01,闵行,"必修,交叉课程",星期一第1-2节{1-16周},False,False,morning
BME3402,解剖与生理（1）,生物医学工程学院,李鑫辉,2.0,40,50.0,(2025-2026-1)-BME3402-02,闵行,必修,星期一第1-2节{1-16周},False,False,morning
BME3402,解剖与生理（1）,生物医学工程学院,陈垚,2.0,50,50.0,(2025-2026-1)-BME3402-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
JC3192,媒介社会学,媒体与传播学院,陶婷婷,2.0,19,20.0,(2025-2026-1)-JC3192-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
CHEM1211H,大学化学（荣誉）,化学化工学院,张卫,3.0,33,32.0,(2025-2026-1)-CHEM1211H-03,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{1-15周(单)},False,False,morning
CHEM5402,配位化学,化学化工学院,舒谋海,2.0,10,10.0,(2025-2026-1)-CHEM5402-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
CHN0920,大学语文,教务处,刘艳,4.0,50,50.0,(2025-2026-1)-CHN0920-01,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{1-16周},False,False,morning
CHN1302,中国文学史（1）,人文学院,雷欣翰,4.0,22,35.0,(2025-2026-1)-CHN1302-01,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{1-16周},False,False,morning
CHN2404,汉语写作（A类）（1）,人文学院,许希阳,2.0,0,30.0,(2025-2026-1)-CHN2404-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
CIM3150,文化产业管理概论,媒体与传播学院,姜照君,2.0,19,19.0,(2025-2026-1)-CIM3150-02,闵行,必修,星期一第1-2节{1-16周},False,False,morning
CS0501,数据结构,计算机学院,李强,3.0,80,80.0,(2025-2026-1)-CS0501-05,闵行,"必修,限选",星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS0501,数据结构,计算机学院,张爱新,3.0,80,80.0,(2025-2026-1)-CS0501-07,闵行,限选,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS0501,数据结构,计算机学院,范磊,3.0,80,80.0,(2025-2026-1)-CS0501-04,闵行,"必修,限选",星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS0501,数据结构,计算机学院,张立箎,3.0,80,80.0,(2025-2026-1)-CS0501-06,闵行,"必修,限选",星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS0501,数据结构,计算机学院,马融,3.0,80,80.0,(2025-2026-1)-CS0501-09,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS0501,数据结构,计算机学院,柳伟,3.0,69,70.0,(2025-2026-1)-CS0501-01,闵行,限选,星期一第1-2节{1-16周};星期四第9-10节{1-15周(单)},False,False,morning
CS2501,离散数学,计算机学院,宋涛,3.0,78,90.0,(2025-2026-1)-CS2501-05,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-15周(单)},False,False,morning
CS2501,离散数学,计算机学院,王琳,3.0,50,50.0,(2025-2026-1)-CS2501-06,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-15周(单)},False,False,morning
CS2501,离散数学,计算机学院,李元龙,3.0,33,50.0,(2025-2026-1)-CS2501-07,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-15周(单)},False,False,morning
CS2501,离散数学,计算机学院,马汝辉,3.0,71,90.0,(2025-2026-1)-CS2501-02,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-15周(单)},False,False,morning
CS2602,数据结构,计算机学院,郭捷,4.0,65,65.0,(2025-2026-1)-CS2602-01,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-16周},False,False,morning
CS2602,数据结构,计算机学院,孟桂娥,4.0,65,65.0,(2025-2026-1)-CS2602-02,闵行,必修,星期一第1-2节{1-16周};星期四第7-8节{1-16周},False,False,morning
CS2901,程序设计思想与方法（C）,计算机学院,石磊,3.0,32,80.0,(2025-2026-1)-CS2901-03,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS2901,程序设计思想与方法（C）,计算机学院,张涛,3.0,66,85.0,(2025-2026-1)-CS2901-01,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS2901,程序设计思想与方法（C）,计算机学院,许岩岩,3.0,20,85.0,(2025-2026-1)-CS2901-02,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS2901,程序设计思想与方法（C）,计算机学院,刘越,3.0,53,75.0,(2025-2026-1)-CS2901-04,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
CS2901,程序设计思想与方法（C）,计算机学院,马智超,3.0,58,80.0,(2025-2026-1)-CS2901-05,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
AE2201,工程力学：静力学与动力学,航空航天学院,范寅,4.0,14,39.0,(2025-2026-1)-AE2201-01,闵行,必修,星期一第1-2节{1-16周};星期四第9-10节{1-16周},False,False,morning
MATH1214,数学分析（荣誉）I,致远学院,张耀宇,4.0,33,33.0,(2025-2026-1)-MATH1214-01,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周},False,False,morning
FL1510,德语综合（1）,外国语学院,范黎坤,4.0,23,23.0,(2025-2026-1)-FL1510-01,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周},False,False,morning
FL3407,日语写作（3）,外国语学院,刘佳,2.0,13,16.0,(2025-2026-1)-FL3407-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
FL4405,日汉互译（2）,外国语学院,黄建香,2.0,14,14.0,(2025-2026-1)-FL4405-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
FL4505,德语词汇学,外国语学院,李菲,2.0,30,36.0,(2025-2026-1)-FL4505-01,闵行,必修,星期一第1-2节{1-16周},False,False,morning
HORT3301,细胞生物学（B类）,农业与生物学院,武国章,3.0,15,18.0,(2025-2026-1)-HORT3301-02,闵行,必修,星期一第1-2节{1-16周};星期四第9-10节{2-16周(双)},False,False,morning
MATH1201,高等数学I,数学科学学院,顾琪龙,6.0,125,146.0,(2025-2026-1)-MATH1201-17,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1201,高等数学I,数学科学学院,刘权兴,6.0,121,145.0,(2025-2026-1)-MATH1201-18,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1201,高等数学I,数学科学学院,杨进伟,6.0,119,143.0,(2025-2026-1)-MATH1201-19,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1201,高等数学I,数学科学学院,陈春丽,6.0,121,138.0,(2025-2026-1)-MATH1201-08,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1201,高等数学I,数学科学学院,王铭,6.0,175,210.0,(2025-2026-1)-MATH1201-15,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1201,高等数学I,数学科学学院,赵俐俐,6.0,175,210.0,(2025-2026-1)-MATH1201-16,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1203,数学分析I,数学科学学院,梁进,6.0,107,116.0,(2025-2026-1)-MATH1203-01,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1205,线性代数,数学科学学院,麻志浩,3.0,117,125.0,(2025-2026-1)-MATH1205-02,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
MATH1205,线性代数,数学科学学院,周圣高,3.0,118,129.0,(2025-2026-1)-MATH1205-01,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
MATH1205,线性代数,数学科学学院,汪彦,3.0,122,129.0,(2025-2026-1)-MATH1205-03,闵行,必修,星期一第1-2节{1-16周};星期四第3-4节{2-16周(双)},False,False,morning
MATH1205H,线性代数（荣誉）,致远学院,蒋启芬,5.0,81,81.0,(2025-2026-1)-MATH1205H-05,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期四第1-2节{2-16周(双)},False,False,morning
MATH1205H,线性代数（荣誉）,致远学院,马俊,5.0,90,94.0,(2025-2026-1)-MATH1205H-07,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{2-16周(双)},False,False,morning
MATH1207,概率统计,数学科学学院,仇璘,3.0,100,110.0,(2025-2026-1)-MATH1207-01,闵行,必修,星期一第1-2节{1-16周};星期四第9-10节{1-15周(单)},False,False,morning
MATH1207,概率统计,数学科学学院,钱成德,3.0,100,110.0,(2025-2026-1)-MATH1207-02,闵行,必修,星期一第1-2节{1-16周};星期四第9-10节{1-15周(单)},False,False,morning
MATH1208,微积分基础,数学科学学院,刘国栋,4.0,184,184.0,(2025-2026-1)-MATH1208-01,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周},False,False,morning
MATH1208,微积分基础,数学科学学院,李大明,4.0,183,183.0,(2025-2026-1)-MATH1208-02,闵行,限选,星期一第1-2节{1-16周};星期三第3-4节{1-16周},False,False,morning
MATH1209,大学医科数学（A类）（1）,数学科学学院,咸进国,4.0,147,147.0,(2025-2026-1)-MATH1209-01,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周},False,False,morning
MATH1405H,高等代数（荣誉）I,数学科学学院,李吉有,5.0,23,23.0,(2025-2026-1)-MATH1405H-01,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期四第1-2节{1-16周};星期五第1-2节{2-16周(双)},False,False,morning
MATH1405H,高等代数（荣誉）I,数学科学学院,李吉有,5.0,21,21.0,(2025-2026-1)-MATH1405H-04,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期四第3-4节{1-16周};星期五第1-2节{2-16周(双)},False,False,morning
MATH1607H,数学分析（荣誉）I,致远学院,王海涛,6.0,45,45.0,(2025-2026-1)-MATH1607H-07,闵行,必修,星期一第1-2节{1-16周};星期二第3-4节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1607H,数学分析（荣誉）I,数学科学学院,张永甲,6.0,67,67.0,(2025-2026-1)-MATH1607H-12,闵行,"必修,限选",星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1607H,数学分析（荣誉）I,致远学院,王芳,6.0,33,33.0,(2025-2026-1)-MATH1607H-06,闵行,"必修,限选",星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期四第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1607H,数学分析（荣誉）I,致远学院,李红泽,6.0,42,42.0,(2025-2026-1)-MATH1607H-08,闵行,"必修,限选",星期一第1-2节{1-16周};星期二第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1607H,数学分析（荣誉）I,致远学院,陈克应,6.0,90,92.0,(2025-2026-1)-MATH1607H-11,闵行,"必修,限选",星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH1607H,数学分析（荣誉）I,致远学院,周春琴,6.0,29,29.0,(2025-2026-1)-MATH1607H-05,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期四第1-2节{1-16周};星期五第1-2节{1-16周},False,False,morning
MATH2402,初等数论,数学科学学院,崔振,3.0,83,130.0,(2025-2026-1)-MATH2402-01,闵行,限选,星期一第1-2节{1-16周};星期四第9-10节{2-16周(双)},False,False,morning
MATH2607H,数学分析（荣誉）III,致远学院,刘成杰,4.0,31,65.0,(2025-2026-1)-MATH2607H-01,闵行,"必修,限选",星期一第1-2节{1-16周};星期三第1-2节{1-16周};星期四第11-12节{1-15周(单)},False,False,evening
MATH3609,代数几何,数学科学学院,胡勇,3.0,18,70.0,(2025-2026-1)-MATH3609-01,闵行,限选,星期一第1-2节{1-16周};星期三第1-2节{2-16周(双)},False,False,morning
NAOE4405,船舶噪声基础,船舶海洋与建筑工程学院,车驰东,2.0,30,30.0,(2025-2026-1)-NAOE4405-01,闵行,"交叉课程,限选",星期一第1-2节{1-16周},False,False,morning
PHY1202H,物理学引论（荣誉）II,致远学院,王世勇,5.0,48,50.0,(2025-2026-1)-PHY1202H-01,闵行,必修,星期一第1-2节{1-16周};星期三第1-2节{1-16周};星期五第1-2节{1-16周},False,False,morning
PHY1202H,物理学引论（荣誉）II,致远学院,李铜忠,5.0,40,45.0,(2025-2026-1)-PHY1202H-03,闵行,必修,星期一第1-2节{1-16周};星期二第1-2节{1-16周};星期四第1-2节{1-16周},False,False,morning
PHY1604,光学,物理与天文学院,钱列加,3.0,94,126.0,(2025-2026-1)-PHY1604-01,闵行,必修,星期一第1-2节{1-16周};星期四第9-10节{2-16周(双)},False,False,morning
PHY2607,电动力学,物理与天文学院,赵玉民,5.0,53,100.0,(2025-2026-1)-PHY2607-01,闵行,必修,星期一第1-2节{1-16周};星期三第3-4节{1-16周};星期五第1-2节{1-15周(单)},False,False,morning
PHY3305P,电磁学基础,巴黎卓越工程师学院,Delphine  WILLOCQ,4.0,0,110.0,(2025-2026-1)-PHY3305P-01,闵行,必修,"星期一第1-2节{1-16周};星期四第5-5节{1-4周,6-10周(双),11-13周(单),14-16周};星期五第3-4节{1周,5周,9周,12-14周(双)}",False,False,morning
BME7201,纳米生物材料测量与表征(研）,研究生院,张春富;徐宏,2.0,0,5.0,BME7201-08200-X01,徐汇,nan,星期一第1-2节{2-17周},False,False,morning
LAW6137,法理学专题(研）,研究生院,杨力,2.0,0,10.0,LAW6137-19000-X01,徐汇,nan,星期一第1-2节{2-17周},False,False,morning
