course_code,course_name,department,teacher,credits,enrollment,class_capacity,teaching_class,campus,course_type,schedule_text,has_virtual_schedule,is_weekend_course,time_bucket
HORT8011,激素与植物健康(研）,研究生院,陈焕,2.0,0,3.0,HORT8011-150 -M01,闵行,nan,星期四第7-8节{2-17周},False,False,afternoon
JC6015,信息可视化(研）,研究生院,席涛,2.0,0,10.0,JC6015 -200-M01,闵行,nan,星期四第7-8节{2-17周},False,False,afternoon
JC6018,马克思主义新闻观研究(研）,研究生院,肖伟光,2.0,0,10.0,JC6018-200-M01,闵行,nan,星期四第7-8节{2-17周},False,False,afternoon
PHAR8101,杂环化合物化学(研）,研究生院,蒋恒,2.0,0,10.0,PHAR8101-17000-M01,闵行,nan,星期四第7-8节{2-17周},False,False,afternoon
PHIL8214,中国道德与政治哲学(研）,研究生院,武云,2.0,0,1.0,PHIL8214-09000-M01,闵行,nan,星期四第7-8节{2-17周},False,False,afternoon
POL8006,当代中国外交与国际关系(研）,研究生院,黄平,2.0,0,5.0,POL8006-13000-X01,闵行,nan,星期四第7-8节{2-17周},False,False,afternoon
PUM8005,比较政治经济学研究(研）,研究生院,苏政,2.0,0,5.0,PUM8005-13000-X01,闵行,nan,星期四第7-8节{2-17周},False,False,afternoon
NAOE3324,船舶结构力学,船舶海洋与建筑工程学院,刘俊,3.0,50,50.0,(2025-2026-1)-NAOE3324-01,闵行,"必修,限选",星期四第6-8节{1-16周},False,False,afternoon
NURS1303,健康与护理,医学院,花文哲,2.0,70,70.0,(2025-2026-1)-NURS1303-01,闵行,必修,星期四第6-8节{4-15周},False,False,afternoon
LAW3440,数据法,凯原法学院,何渊,2.0,42,72.0,(2025-2026-1)-LAW3440-01,徐汇,限选,星期四第6-8节{1-11周},False,False,afternoon
LAW4418,金融法,凯原法学院,李潇洋,2.0,56,72.0,(2025-2026-1)-LAW4418-01,徐汇,限选,星期四第6-8节{1-11周},False,False,afternoon
